user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,AdRev_D5,IAPRev_D5,AdRev_D6,IAPRev_D6,AdRev_D7,IAPRev_D7,AdRev_D8,IAPRev_D8,AdRev_D9,IAPRev_D9,AdRev_D10,IAPRev_D10,AdRev_D11,IAPRev_D11,total_ad_revenue,total_iap_revenue,total_revenue
c95b9ca3df08ea1beb15be9d438c06de,42.0,1.0,0.520481526851654,0.0,0.0,0.0,0.2707499861717224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7912315130233765,0.0,0.7912315130233765
db58c3d373efb84aad02901e9cbfee64,42.0,0.0,1.597455145791173,0.0,0.9692416675388812,0.0,0.0,0.0,1.8528915122151373,8.424797,1.7092443872243166,8.792712000000002,0.5004350282251835,38.824173,0.3948677033185959,14.559106000000002,0.371300209313631,8.146434000000001,0.3151538483798504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.710589502006769,78.74722200000001,86.45781150200678
140c04e0883b2220e4af05fe118a3079,42.0,0.0,0.0273335184901952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273335184901952,0.0,0.0273335184901952
737693366954c7f87c863ff31cff1380,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
db057002ee97f6ae3cca1ce2900d6a20,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ddd9dc46d97bf8c8dcc6a0030e7d6fe3,42.0,1.0,0.0381961800158023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0381961800158023,0.0,0.0381961800158023
ebbff328be0f0593f1d11b4ad7f130da,42.0,0.0,4.3054358959198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3054358959198,0.0,4.3054358959198
72ceb432d56dfe4dad6ad33bf8492350,42.0,0.0,0.0123461876064538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123461876064538,0.0,0.0123461876064538
15b45aae7f69dcd164d95f36a1cee504,42.0,1.0,0.0802061855792999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802061855792999,0.0,0.0802061855792999
1f455ca9a32dec0c9f3203f03c4bdf17,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
