user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,total_ad_revenue,total_iap_revenue,total_revenue
60ff202c55f400ee3166acb4274628b3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9667efe93d7e0825e0d7178381a4a743,42.0,0.0,0.0445321556180715,0.0,0.0,0.0,0.0,0.0,0.0180480778217315,0.0,0.0325293727219104,0.0,0.0951096061617134,0.0,0.0951096061617134
4ef1f4f4645f4306cced2b1c796d9754,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac29f8cff0bb9e1eca9fbbc1cb8b8205,42.0,1.0,0.3376755155622959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3376755155622959,0.0,0.3376755155622959
87b2c45d1eb9e30f9238d5db132ea30d,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66c4b13f6e2a5d1bc77988fbdb755b40,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0a5aed6b87c0ab68bc292e5821396ddc,42.0,0.0,0.0064258510246872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064258510246872,0.0,0.0064258510246872
69b776a71a6fc0ac28387b73b69e09df,42.0,1.0,0.0095818890258669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095818890258669,0.0,0.0095818890258669
773004432ac083f4b2c6f9f169eea6ca,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8016c5d3b32a131a8b1e5d92fdfcf998,42.0,1.0,0.0011977503309026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011977503309026,0.0,0.0011977503309026
114671aae9d6abf59104bdd6603289d8,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59ec36d2ca32311e76bee39c3d66dec3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620b94bd16a4c4e1b26cea872fbd322c,42.0,1.0,0.0049871681258082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049871681258082,0.0,0.0049871681258082
985f34cb2d1eeeddc90bb70dce25d6a5,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaa99df84a32e2af98a5eea505c3f831,42.0,1.0,0.0035004150122404,0.0,0.0,0.0,0.0014421220403164,0.0,0.0025375370169058,0.0,0.0,0.0,0.0074800740694625995,0.0,0.0074800740694625995
e3d25897cf25b2fecc705834d8f1f6ce,42.0,0.0,0.0216531690675765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216531690675765,0.0,0.0216531690675765
5f37b5428f32d07f1537235dbbcbeab1,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9398299edc0d11be74ccda09928d83da,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cbea139192c8e3b5649f07040aff9e97,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fb0f690c5a7e7a3b9228c50e7072e093,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35fc93bef31289ce4cd6be5077239730,42.0,1.0,0.0,0.0,0.0353632038459181,0.0,0.0178062040358781,0.0,0.0,0.0,0.0,0.0,0.05316940788179621,0.0,0.05316940788179621
0a34b1ea4e0e97917f7d34a27fb57b0e,42.0,1.0,0.078301659785211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078301659785211,0.0,0.078301659785211
2689a8db2427c465be0564a95504ccbf,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8712f8cd8c0dac19a9ad41cc491e1e4e,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
df7dc88ddea7fc7a3afa2eb4d9eacb22,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efd2b10cf0dfe606c3bf97bb004d2668,42.0,0.0,0.0229914472438395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229914472438395,0.0,0.0229914472438395
69b381e636cae97698e89e3536c7be88,42.0,1.0,0.0100784272653982,0.0,0.0,0.0,0.0,0.0,0.0089878890430554,0.0,0.0,0.0,0.019066316308453603,0.0,0.019066316308453603
ce5e7d66f2db6c429386e8cb4b2eb37c,42.0,1.0,0.0021566876675933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021566876675933,0.0,0.0021566876675933
6092c4d81e6697e6bf0387970a3145c3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6c889197180ff1cb9354c96ec2b1cfa5,42.0,0.0,0.0053712679073214,0.0,0.0043991040438413,0.0,0.0132721774280071,0.0,0.0058652576990425,0.0,0.0,0.0,0.028907807078212302,0.0,0.028907807078212302
8702571d081f919e08abc60606d2e414,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b87aada0087a6d04fd47436b3cbf936c,42.0,0.0,0.0059441393532324,0.0,0.0006016900006216,0.0,0.0007949376013129,0.0,0.0005027750157751,0.0,0.0,0.0,0.007843541970942001,0.0,0.007843541970942001
282bd69cf7f186c15a762e1c1d14fef6,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e7693aa775aa4efed5ff3e2eb175957,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4f6c671c0f9a0f752811d6ae4406f1e4,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c5116a471ea5905e6af76e459dc543e9,42.0,1.0,0.0096734836697578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096734836697578,0.0,0.0096734836697578
f358544d63d7074819d0610075cd221c,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47c1d4f9c52cead266c546e31319215c,42.0,1.0,0.2405798397958278,0.0,0.0,0.0,0.2726581376045942,0.0,0.3064703606069088,0.0,0.0884419921785593,0.0,0.9081503301858901,0.0,0.9081503301858901
ac11b5a3eabc197c47d0af9ba6f5ae55,42.0,0.0,0.0,0.0,0.0,0.0,0.019158644368872,0.0,0.0,0.0,0.0,0.0,0.019158644368872,0.0,0.019158644368872
34609eb43d21dc6c7e0f15abf9837722,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519970ee31401bdecefd0aa02cea319c,42.0,1.0,0.0098924217745661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098924217745661,0.0,0.0098924217745661
5a4833bb63ff547797085a54d344fb4d,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9e6e7c969a74603387848ffc52de52cb,42.0,0.0,0.5177793726325035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5177793726325035,0.0,0.5177793726325035
0dcaad628858e6ba16f16830ac54654d,42.0,1.0,0.013681900636584,0.0,0.0073926655823015,0.0,0.0020935850188834,0.0,0.0057106371677946,0.0,0.0062728064513066,0.0,0.0351515948568701,0.0,0.0351515948568701
3a74b6973dbb2afdb13f27a41ee7b32d,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29ebe70df1bc56192413bc8fa2f83898,42.0,0.0,0.0282609462738037,0.0,0.007834899937734,0.0,0.0086561576463282,0.0,0.0123528451658785,0.0,0.0,0.0,0.0571048490237444,0.0,0.0571048490237444
9d441cd0d539d2bd4f7a0697dc9c521d,42.0,0.0,0.0059713646769523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059713646769523,0.0,0.0059713646769523
a96951ff2707eb714ae38a608504201c,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4528f1fb8bfafa4854c3f0f065c1d59,42.0,0.0,0.1761701330542564,0.0,0.0,0.0,0.2078297492116689,0.0,0.0,0.0,0.0,0.0,0.3839998822659253,0.0,0.3839998822659253
b5581940ce962652aa8a79d1bb3a7865,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b89555ee4ee6352aee243b29a4f50441,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e923491dbc27aee212f1578ea815ff31,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19ec3a508dc68e028e4b83f231657654,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e9479b7442a4ed4504124626892ffb7,42.0,1.0,0.0,0.0,0.0621925401501357,0.0,0.0683000702410936,0.0,0.0687614321359433,0.0,0.0559717737487517,0.0,0.2552258162759243,0.0,0.2552258162759243
35c6d0a9d45558276a35018928a913ce,42.0,0.0,0.0,0.0,0.0,0.0,0.0167188718914985,0.0,0.0,0.0,0.0,0.0,0.0167188718914985,0.0,0.0167188718914985
4d559d45a66c0c26d54fbe2ca693a1fc,42.0,1.0,0.0668554231524467,0.0,0.3725336492061615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393890723586082,0.0,0.4393890723586082
6a428f8e2ce7b481d0fbaeb62c990fa9,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885dd96de8ee085d631d728035d96024,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e43b6dfe66606914fd8cde4c952567b8,42.0,1.0,0.3669036626815796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3669036626815796,0.0,0.3669036626815796
f2c75cd7c65f8f8df90800c1fa52e177,42.0,0.0,0.2760056033730507,0.0,1.0103612411767244,0.0,0.8069856269285083,0.0,0.2902723345905542,0.0,0.1395245548337698,0.0,2.5231493609026074,0.0,2.5231493609026074
148fbb1d00edd30a2fc18ebbf0273600,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c00a0400ad31a933ac18da4763c10d5,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626e339d67afa8a6a46daf8e7923e85a,42.0,0.0,0.0512148961424827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512148961424827,0.0,0.0512148961424827
c74f3f6b4ad0716a484719df56cbea70,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f223d7b50c91b226698f2a545c70042a,42.0,1.0,0.0846885191276669,0.0,0.070387190207839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1550757093355059,0.0,0.1550757093355059
115b2c04350bddc4428c1b95ad86d66c,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35dc29e9256d6ad526733abb14f48cc2,42.0,1.0,0.0145949781872332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145949781872332,0.0,0.0145949781872332
a4fb46ae89dbda36e0fcc4bfceef20a3,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4f1e013095d2124447ff7574e09028f1,42.0,1.0,0.0421390002593398,0.0,0.0,0.0,0.1443980345502495,0.0,0.0,0.0,0.0,0.0,0.1865370348095893,0.0,0.1865370348095893
0df0c7585e8867f51550792ca413cb19,42.0,1.0,0.1557338773272931,0.0,0.0,0.0,0.1298251911066472,0.0,0.0,0.0,0.0,0.0,0.2855590684339403,0.0,0.2855590684339403
797a042df7deab96271be4133b02bdf8,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0a66b74232715e925099a0542092ba41,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
