user_pseudo_id,revenue_sum,ad_impression_count,max_time_in_game,max_session_number,max_world,max_level
0212470eb693a13a3581d633621c3a41,0.13030302873812616,29,566255.0,58,7,2
02168f240d9ad852846ef38da62ac6d0,0.5181530322879553,15,40034.0,22,2,7
0226cb78887f77128237c99f89404196,0.025926630944013596,1,871.0,1,1,3
022d30661900e5e3e5f14515d46e6567,1.3295111926272511,34,168328.0,53,4,0
023bb7e78960e1e2c9aa29ddf9c48598,0.01687244395725429,9,3864801.0,1376,34,8
023f2102e54cf9850eb3522f0472a745,0.029246946796774864,1,508336.0,68,4,2
0246c718a331fa26c3e79b652bb2a66e,0.025379713624715805,1,1447136.0,250,7,0
025ee9d2fd002fa118ef137eb370bd3c,0.08530011400580406,8,20291.0,11,3,7
026ec1f540369706d8fb211a7f0d5480,0.008926090318709612,5,574551.0,70,7,3
027edd6d1912338aa58651f619b7fd3f,0.05883297696709633,2,139576.0,13,3,3
027fccc069b6bdba1e15f1b56414e50d,0.00432237284258008,1,322.0,1,1,4
028c7059cd5df812e8a89f3d54819a39,0.10382877530355472,260,2818003.0,1014,19,4
029f16f52b79f6e560e66b83e13cb41b,0.02318016067147255,7,12176077.0,2,3,7
02aac0682bd775140c3c9e64ad301ac4,0.0932771060615778,16,1452194.0,80,8,2
02df8a0ba26355852c05c80ab223a8b7,0.04572667845059186,23,11961661.0,120,9,8
02eb5705ea7c32af0a39f78e373bf7f5,0.020853834226727486,1,303.0,1,,
02ec5b8c71f98133ddea46e4675b1578,0.09353222092613578,7,344092.0,34,4,0
02f0bb4697d2b08a92eb6fe8152f4450,0.019912881776690483,2,1352368.0,28,3,3
02ffe1b41bfe05af92b180ac964a3834,0.6435621771961451,18,4688239.0,57,17,6
0315f702fac1fe99269b0c2ade40472a,0.013959705014713109,4,555260.0,92,3,7
032bbef8caaf208f3aaf6dde515be5d1,4.0869380235672,3,18111.0,6,1,6
032e5aa91b5245b5c9e7c301945fa482,0.19475369900465012,3,21198.0,7,2,1
0337B52E7E2344F887B4AF94DAE301E8,0.17178182983398438,2,50326799116.0,45,4,0
033eb64c23ab5fb854c3fc396531b14f,0.00649458181578666,4,7390176.0,1154,17,5
03478fdb7738ce4a00e66a7bdaf82845,0.004172610038949642,13,3663972.0,1205,24,4
0352A29DF63443B3950E7AE063BADFC0,0.5004031829833985,3,107260.0,56,3,8
03560b0f3217a93264e6da68dbee7d83,2.002709947526455,34,223070.0,55,4,0
035f90ceca2c9cc64634c9655e77d5ff,0.11379113281145692,16,35334.0,23,2,2
03ae0bcfaa1d344615a7797b470432c7,0.2287511918693781,17,15848.0,4,1,6
03b21a81543d2ad871cdbea8b902bf7b,0.12534795328974724,22,237403.0,35,2,2
03c4af88033711828d5edfdbd077d7aa,0.030887532280758023,7,1402174.0,246,8,3
03e296202985cfcf1d115402d469933c,0.3360642082989216,12,60415.0,35,3,4
03f26ab2bb838e5ffd25d054d2e100de,0.5236739926040173,17,3165736.0,242,15,9
03f70c9873d870462c8037a7af11fe6a,0.08263828791677952,3,614.0,1,,
03fb35e2e58647dfb8b9be81bfd7bcd0,0.5202679261565208,4,358910.0,52,8,0
03fc33bb4f7ccd4d3e386371664422fd,0.009711501188576221,9,15122974.0,1777,42,8
