user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,AdRev_D5,IAPRev_D5,AdRev_D6,IAPRev_D6,AdRev_D7,IAPRev_D7,AdRev_D8,IAPRev_D8,AdRev_D9,IAPRev_D9,AdRev_D10,IAPRev_D10,AdRev_D11,IAPRev_D11,AdRev_D12,IAPRev_D12,AdRev_D13,IAPRev_D13,AdRev_D14,IAPRev_D14,AdRev_D15,IAPRev_D15,total_ad_revenue,total_iap_revenue,total_revenue
df0191ce84c65fb208074acf9f867095,46.0,0.0,0.0163526982069015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163526982069015,0.0,0.0163526982069015
f44f348d2c7c7a85acc9451e1bf8f9ec,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0663700625300407,0.0,3.063271265476942,0.0,0.2522389590740204,4.593776,0.8235206231474876,3.438665,0.6274135857820511,0.0,0.0,0.0,1.8431832119822504,0.798469,0.3973086252808571,3.087212,0.3732982501387596,0.0,0.0,0.0,0.3690205588936806,1.140666,0.0,1.025523,7.815625142306089,14.084311,21.89993614230609
fd94f2b9b6aa1a9065be57981efeb566,46.0,1.0,0.0268740206956863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268740206956863,0.0,0.0268740206956863
b24bd8fb648411bff8e6c6eed813548f,46.0,0.0,0.0001957500062417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001957500062417,0.0,0.0001957500062417
c3570dbcb337b8fd81b9fa795cb6e11b,46.0,1.0,0.0141417453996837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141417453996837,0.0,0.0141417453996837
f8c62de4f4112fa09bb3c29349007416,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0badd94b81c473755b551ecb7fe8dbe3,46.0,0.0,0.1048418935388326,0.0,0.2160318363457918,0.0,0.0450333226472139,0.0,0.0,0.0,0.0,0.0,0.0529587622731924,0.0,0.1109115574508905,0.0,0.0695744585245847,0.0,0.098566997796297,0.0,0.0327164493501186,0.0,0.0,0.0,0.0,0.0,0.0314085856080055,0.0,0.0,0.0,0.0250854659825563,0.0,0.0,0.0,0.7871293295174833,0.0,0.7871293295174833
88903dc68bca8857deaba6efccfd7276,46.0,1.0,0.0,0.0,0.0313129909336566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313129909336566,0.0,0.0313129909336566
af471729f8b6d3d1f67b6b55a3204c19,46.0,0.0,0.1530539696104824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530539696104824,0.0,0.1530539696104824
ddb6ff5a93283dbb00a60651ded82fbf,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
