user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,total_ad_revenue,total_iap_revenue,total_revenue
c9b82286f788af91974d5029345b247e,45.0,1.0,0.0217164400964975,0.0,0.0,0.0,0.0,0.0,0.0023832903243601,0.0,0.024099730420857602,0.0,0.024099730420857602
36314d2bab22677168c5b1631b74e7c4,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fdc5b3be01c2a4c9b1a12318109b976c,45.0,0.0,0.0284831216558814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284831216558814,0.0,0.0284831216558814
ce5db03d1736c38c228334168fc9d0be,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98eac64196ab18c0d6181cbc33424f59,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7446310b9fcee252e7358e41bbd0741c,45.0,0.0,0.5225188047625124,0.0,0.0308766711968928,0.0,0.0,0.0,0.0,0.0,0.5533954759594052,0.0,0.5533954759594052
5e8fea1621cc6494d5eabfc8a96508fd,45.0,0.0,0.00451256101951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00451256101951,0.0,0.00451256101951
a99a46ce555d6f497e71f574df380485,45.0,0.0,0.015881560742855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015881560742855,0.0,0.015881560742855
4c64e2cb701540aef390396171e0f8fb,45.0,0.0,0.1803838312625885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1803838312625885,0.0,0.1803838312625885
7d61eadd1672e346495b3322b5615fec,45.0,0.0,0.0,0.0,0.0490611102432012,0.0,0.076253680512309,0.0,0.0,0.0,0.12531479075551022,0.0,0.12531479075551022
4dee2e653829cd95361481cfaf36f2ec,45.0,1.0,0.0196202434599399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196202434599399,0.0,0.0196202434599399
528796ddb3fdc23c811c070113576f86,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52e873ef46b334c6a58ee9c0574ae642,45.0,0.0,0.1663468554615974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663468554615974,0.0,0.1663468554615974
